date,serious
2020/2/17,3
2020/2/18,6
2020/2/19,7
2020/2/20,9
2020/2/21,10
2020/2/22,11
2020/2/23,13
2020/2/24,14
2020/2/25,15
2020/2/26,16
2020/2/27,20
2020/2/28,22
2020/2/29,23
2020/3/1,23
2020/3/2,24
2020/3/3,24
2020/3/4,27
2020/3/5,30
2020/3/6,28
2020/3/7,27
2020/3/8,33
2020/3/9,31
2020/3/10,26
2020/3/11,29
2020/3/12,32
2020/3/13,35
2020/3/14,36
2020/3/15,41
2020/3/16,46
2020/3/17,46
2020/3/18,49
2020/3/19,50
2020/3/20,55
2020/3/21,57
2020/3/22,54
2020/3/23,55
2020/3/24,57
2020/3/25,56
2020/3/26,56
2020/3/27,60
2020/3/28,59
2020/3/29,59
2020/3/30,59
2020/3/31,60
2020/4/1,62
2020/4/2,64
2020/4/3,69
2020/4/4,70
2020/4/5,79
2020/4/6,80
2020/4/7,99
2020/4/8,109
2020/4/9,117
2020/4/10,122
2020/4/11,129
2020/4/12,135
2020/4/13,152
2020/4/14,168
2020/4/15,193
2020/4/16,207
2020/4/17,211
2020/4/18,217
2020/4/19,231
2020/4/20,232
2020/4/21,241
2020/4/22,259
2020/4/23,263
2020/4/24,287
2020/4/25,296
2020/4/26,300
2020/4/27,305
2020/4/28,306
2020/4/29,308
2020/4/30,328
2020/5/1,324
2020/5/2,321
2020/5/3,308
2020/5/4,309
2020/5/5,308
2020/5/6,300
2020/5/7,287
2020/5/8,266
2020/5/9,267
2020/5/10,249
2020/5/11,243
2020/5/12,259
2020/5/13,245
2020/5/14,237
2020/5/15,232
2020/5/16,230
2020/5/17,228
2020/5/18,213
2020/5/19,210
2020/5/20,195
2020/5/21,176
2020/5/22,174
2020/5/23,168
2020/5/24,165
2020/5/25,155
2020/5/26,147
2020/5/27,136
2020/5/28,131
2020/5/29,123
2020/5/30,119
2020/5/31,115
2020/6/1,113
2020/6/2,101
2020/6/3,102
2020/6/4,98
2020/6/5,99
2020/6/6,98
2020/6/7,99
2020/6/8,92
2020/6/9,91
2020/6/10,88
2020/6/11,82
2020/6/12,76
2020/6/13,73
2020/6/14,71
2020/6/15,80
2020/6/16,70
2020/6/17,62
2020/6/18,62
2020/6/19,61
2020/6/20,59
2020/6/21,59
2020/6/22,62
2020/6/23,60
2020/6/24,58
2020/6/25,51
2020/6/26,48
2020/6/27,45
2020/6/28,43
2020/6/29,42
2020/6/30,40
2020/7/1,37
2020/7/2,33
2020/7/3,32
2020/7/4,33
2020/7/5,34
2020/7/6,36
2020/7/7,35
2020/7/8,38
2020/7/9,31
2020/7/10,33
2020/7/11,32
2020/7/12,34
2020/7/13,40
2020/7/14,38
2020/7/15,37
2020/7/16,39
2020/7/17,41
2020/7/18,43
2020/7/19,47
2020/7/20,52
2020/7/21,55
2020/7/22,59
2020/7/23,68